instance sat family size vbdpd vbbjdpd
si4-r001-m200.02 1 7 200 17 17
si2-m4D-m256.08 1 5 256 27 29
si2-m4D-m256.03 1 5 256 17 25
si2-m4D-m256.02 1 5 256 23 22
si2-m4D-m256.06 1 5 256 20 17
si2-m4D-m256.04 1 5 256 15 19
si2-m4D-m256.07 1 5 256 29 21
si2-m4D-m256.01 1 5 256 24 25
si2-m4D-m256.09 1 5 256 36 23
si2-m4D-m256.00 1 5 256 42 43
si2-m4D-m256.05 1 5 256 16 18
si6-r01-m400.04 1 7 400 20858 21282
si6-r01-m400.08 1 7 400 6262 6328
si6-r01-m400.07 1 7 400 13664 13761
si6-r01-m400.06 1 7 400 12709 12920
si6-r01-m400.05 1 7 400 52087 52833
si6-r01-m400.02 1 7 400 15352 15532
si6-r01-m400.00 1 7 400 15013 15174
si6-r01-m400.03 1 7 400 8822 8910
si6-r01-m400.01 1 7 400 13740 13849
si6-r01-m400.09 1 7 400 28145 28562
si2-m4Dr4-m625.07 1 6 625 147 145
si2-m4Dr4-m625.02 1 6 625 66 65
si2-m4Dr4-m625.03 1 6 625 228 204
si2-m4Dr4-m625.00 1 6 625 111 110
si2-m4Dr4-m625.05 1 6 625 121 120
si2-m4Dr4-m625.06 1 6 625 135 132
si2-m4Dr4-m625.09 1 6 625 84 80
si2-m4Dr4-m625.01 1 6 625 77 76
si2-m4Dr4-m625.08 1 6 625 79 78
si2-m4Dr4-m625.04 1 6 625 93 82
si4-r01-m400.01 1 7 400 3027 3035
si4-r01-m400.08 1 7 400 61575 62465
si4-r01-m400.02 1 7 400 219520 223332
si4-r01-m400.03 1 7 400 25869 26376
si4-r01-m400.07 1 7 400 52205 52715
si4-r01-m400.06 1 7 400 5872 5925
si4-r01-m400.04 1 7 400 198012 201284
si4-r01-m400.00 1 7 400 344259 349335
si4-r01-m400.05 1 7 400 13297 13512
si4-r01-m400.09 1 7 400 42067 42822
si2-b09m-m400.09 1 4 400 77 78
si2-b09m-m400.03 1 4 400 66 66
si2-b09m-m400.01 1 4 400 52 52
si2-b09m-m400.08 1 4 400 55 55
si2-b09m-m400.05 1 4 400 65 66
si2-b09m-m400.06 1 4 400 51 50
si2-b09m-m400.00 1 4 400 57 59
si2-b09m-m400.02 1 4 400 47 53
si2-b09m-m400.04 1 4 400 51 51
si2-b09m-m400.07 1 4 400 53 53
si2-b09-m800.07 1 3 800 404 403
si2-b09-m800.04 1 3 800 404 404
si2-b09-m800.05 1 3 800 407 403
si2-b09-m800.00 1 3 800 405 404
si2-b09-m800.02 1 3 800 404 403
si2-b09-m800.01 1 3 800 411 476
si2-b09-m800.08 1 3 800 405 404
si2-b09-m800.09 1 3 800 416 405
si2-b09-m800.03 1 3 800 403 405
si2-b09-m800.06 1 3 800 404 403
si6-b03-m400.04 1 3 400 53 54
si6-b03-m400.09 1 3 400 56 60
si6-b03-m400.02 1 3 400 56 54
si6-b03-m400.06 1 3 400 62 63
si6-b03-m400.05 1 3 400 54 54
si6-b03-m400.08 1 3 400 56 57
si6-b03-m400.01 1 3 400 54 56
si6-b03-m400.07 1 3 400 54 54
si6-b03-m400.03 1 3 400 55 54
si6-b03-m400.00 1 3 400 83 60
si2-r005-m600.03 1 7 600 25307 25061
si2-r005-m600.00 1 7 600 478069 472606
si2-r005-m600.06 1 7 600 31431 31592
si2-r005-m600.01 1 7 600 122752 119855
si2-r005-m600.04 1 7 600 308483 299135
si2-r005-m600.09 1 7 600 33291 34019
si2-r005-m600.05 1 7 600 1464829 1452407
si2-r005-m600.02 1 7 600 340345 337038
si2-r005-m600.08 1 7 600 73904 73800
si2-r005-m600.07 1 7 600 10598 10790
si4-r01-m600.05 1 7 600 61172 62298
si4-r01-m600.02 1 7 600 63081 64315
si4-r01-m600.03 1 7 600 234643 239710
si4-r01-m600.07 1 7 600 472866 481802
si4-r01-m600.08 1 7 600 380952 387197
si4-r01-m600.06 1 7 600 162945 165848
