instance lad vbdpd vbbjdpd vbbjdpdnosup vbbjdpdnocad tvbbjdpd vf2 snd
si6_b03m_m800.06 111.982000 169 161 67 149 155 2 10020.00
si6_b03m_m800.09 68.989000 185 159 47 149 153 4 8144.000
si6_b03m_m800.02 70.989000 240 211 64 200 201 4 7797.000
si4_r005_m200.00 31445.219000 106 136 25 102 93 100000000 6136.000
si4_r005_m200.08 10172.453000 102 106 37 103 93 100000000 6176.000
si4_r005_m200.02 7118.917000 139 131 132 112 91 100000000 5919.000
si4_r005_m200.05 376.942000 101 102 10 121 97 100000000 1487.000
si4_r005_m200.06 281.957000 120 108 18 108 95 100000000 1080.00
si4_r005_m200.04 34754.716000 119 118 46 107 97 100000000 4004.000
si4_r005_m200.07 13127.004000 132 138 83 116 94 100000000 11264.000
si4_r005_m200.09 3845.415000 174 122 51 107 91 100000000 9653.000
si4_r005_m200.01 10660.379000 97 110 8 107 93 100000000 7738.000
si4_r005_m200.03 15114.702000 99 108 15 99 93 100000000 1079.000
si6_b09m_m400.03 50.992000 161 163 12 161 154 1 2350.00
si6_b09m_m400.07 49.992000 273 298 17 255 234 1 2203.000
si6_b09m_m400.00 47.992000 194 187 13 189 174 1 2371.000
si6_b09m_m400.04 61.990000 388 389 13 345 320 1 2962.000
si6_b09m_m400.06 48.992000 166 203 13 172 154 1 2214.000
si6_b09m_m400.08 46.992000 408 354 18 320 290 2 2396.000
si6_b09m_m400.02 48.992000 360 475 13 397 296 1 2555.000
si6_b09m_m400.05 45.993000 159 158 13 156 149 1 2552.000
si6_b09m_m400.09 78.987000 145 144 12 140 130 1 3039.000
si6_b09m_m400.01 62.990000 171 173 14 168 161 2 2391.000
si2_b09_m200.08 62.990000 24 24 1 37 26 0 605.000
si2_b09_m200.01 52.991000 23 24 1 27 25 0 686.000
si2_b09_m200.06 75.988000 24 26 2 25 27 0 627.000
si2_b09_m200.05 66.989000 24 27 1 28 26 0 604.000
si2_b09_m200.00 56.991000 24 36 1 24 25 0 600.0
si2_b09_m200.02 48.992000 23 24 1 25 25 0 624.000
si2_b09_m200.03 82.987000 26 25 1 37 25 0 674.000
si2_b09_m200.04 49.992000 28 26 1 29 26 0 584.000
si2_b09_m200.09 82.987000 24 32 2 25 26 0 728.000
si2_b09_m200.07 66.989000 34 24 2 25 27 0 617.000
si6_r01_m600.02 55001268.536000 70689 71550 34758 118404 21117 100000000 100000000
si6_r01_m600.06 58524583.910000 61572 62332 28356 122836 20691 100000000 67195853.000
si6_r01_m600.09 20972790.651000 28592 28639 6916 94687 17450 100000000 100000000
si6_r01_m600.08 20756331.557000 204878 208294 124995 371034 31483 100000000 32827811.000
si6_r01_m600.05 5229247.033000 45838 46672 18366 79906 18595 100000000 19688071.000
si6_r01_m600.07 38754158.472000 242832 246921 152210 263958 33219 100000000 100000000
si6_r01_m600.03 100000000 120199 121812 64262 344289 24219 100000000 32399817.000
si6_r01_m600.00 32986886.231000 49157 49681 19534 308448 18892 100000000 15339136.000
si6_r01_m600.01 34803480.066000 610211 620983 394306 577222 63008 100000000 65534385.000
si6_r01_m600.04 31235474.486000 421077 428585 264028 578469 46259 100000000 17169534.000
si2_b06_m200.02 47.992000 17 20 1 21 17 0 570.00
si2_b06_m200.00 60.990000 23 16 2 15 16 0 747.000
si2_b06_m200.01 50.992000 14 15 1 14 16 0 719.000
si2_b06_m200.06 39.993000 20 19 2 15 16 0 573.000
si2_b06_m200.09 34.994000 14 15 1 22 16 0 598.000
si2_b06_m200.07 37.994000 15 15 1 15 16 0 587.000
si2_b06_m200.04 33.994000 23 22 2 14 16 0 553.000
si2_b06_m200.08 33.994000 14 22 2 22 17 0 673.000
si2_b06_m200.03 34.994000 23 23 2 15 16 0 811.000
si2_b06_m200.05 51.992000 23 15 2 17 16 0 650.00
si6_m4Dr2_m1296.05 350.946000 723 714 170 676 678 8 34499.000
si6_m4Dr2_m1296.09 1125.828000 1153 987 246 757 758 8 33691.000
si6_m4Dr2_m1296.01 331.949000 1251 1692 231 1331 1178 8 35566.000
si6_m4Dr2_m1296.06 342.947000 1654 1658 177 1622 1564 8 36050.00
si6_m4Dr2_m1296.07 533.918000 856 855 172 816 811 8 38878.000
si6_m4Dr2_m1296.03 310.952000 1261 1265 166 1227 1198 9 34723.000
si6_m4Dr2_m1296.04 300.954000 2138 2142 165 2101 2019 8 32773.000
si6_m4Dr2_m1296.00 359.945000 1815 1586 167 1595 1473 9 33180.00
si6_m4Dr2_m1296.08 431.934000 1232 1451 170 1171 1149 8 31878.000
si6_m4Dr2_m1296.02 335.948000 1186 1208 196 1239 1120 9 36345.000
si2_b09m_m800.09 74.988000 206 182 27 186 169 1 2395.000
si2_b09m_m800.07 74.988000 360 357 16 359 336 1 2232.000
si2_b09m_m800.00 67.989000 222 211 17 212 194 1 1903.000
si2_b09m_m800.04 67.989000 327 298 16 297 278 1 2293.000
si2_b09m_m800.02 73.988000 470 430 26 475 406 1 1871.000
si2_b09m_m800.05 102.984000 211 209 17 244 195 1 2167.000
si2_b09m_m800.03 523.920000 233 237 34 232 220 1 1858.000
si2_b09m_m800.08 104.984000 382 459 26 329 282 1 1816.000
si2_b09m_m800.06 451.931000 234 233 18 244 220 1 1920.00
si2_b09m_m800.01 146.977000 226 216 18 217 206 1 2505.000
si4_b03_m400.01 419.936000 37 37 8 36 62 0 1080.00
si4_b03_m400.02 248.962000 36 38 8 52 64 0 1347.000
si4_b03_m400.05 362.944000 56 37 7 50 63 0 1448.000
si4_b03_m400.07 377.942000 40 44 8 38 62 0 1453.000
si4_b03_m400.06 330.949000 38 38 7 36 63 0 1525.000
si4_b03_m400.00 439.933000 41 37 8 37 63 0 1536.000
si4_b03_m400.03 443.932000 38 48 6 36 63 0 1301.000
si4_b03_m400.04 253.961000 59 59 12 37 63 0 1206.000
si4_b03_m400.09 233.964000 47 50 7 36 61 0 1198.000
si4_b03_m400.08 243.962000 59 39 6 38 66 0 1104.000
si2_b03_m200.05 29.995000 5 5 1 5 7 0 646.000
si2_b03_m200.09 15.997000 5 5 1 5 8 0 542.000
si2_b03_m200.07 16.997000 6 5 1 5 7 0 663.000
si2_b03_m200.01 18.997000 5 9 1 9 7 0 635.000
si2_b03_m200.08 26.995000 5 5 1 5 7 0 698.000
si2_b03_m200.02 17.997000 5 5 1 5 7 0 526.000
si2_b03_m200.04 16.997000 7 5 1 5 7 0 590.00
si2_b03_m200.03 15.997000 5 5 1 5 7 0 500.0
si2_b03_m200.06 29.995000 7 5 1 5 8 0 643.000
si2_b03_m200.00 29.995000 8 6 1 5 7 0 724.000
si4_r005_m600.00 4083973.141000 25505 25908 13962 33277 5756 100000000 115201.000
si4_r005_m600.02 2002345.597000 7617 7626 2066 6463 4216 100000000 716900.0
si4_r005_m600.08 829986.822000 27251 27655 15462 21187 5623 100000000 1779023.000
si4_r005_m600.05 50252312.487000 23350 23797 13023 17813 5283 100000000 2934349.000
si4_r005_m600.07 7315558.866000 9067 9172 3202 8623 4383 100000000 1688061.000
si4_r005_m600.06 9303935.586000 41639 42391 41390 35562 6855 100000000 2953022.000
si4_r005_m600.01 3885846.261000 25270 24886 14297 38019 5555 100000000 93997.000
si4_r005_m600.04 2048898.520000 21822 22183 11185 19031 5332 100000000 487245.000
si4_r005_m600.03 1445877.193000 13734 13869 6064 37420 4681 100000000 2206629.000
si4_r005_m600.09 3993902.834000 5709 5729 1039 5453 4082 100000000 81050.00
si4_b09_m400.05 754.885000 209 226 19 223 217 0 1973.000
si4_b09_m400.03 747.886000 203 210 19 203 216 0 1848.000
si4_b09_m400.00 708.892000 204 208 14 205 230 0 1676.000
si4_b09_m400.07 787.880000 226 203 18 205 230 0 1515.000
si4_b09_m400.01 763.883000 208 203 19 205 229 0 1509.000
si4_b09_m400.06 735.888000 207 204 12 219 218 0 1559.000
si4_b09_m400.04 760.884000 238 203 13 260 222 0 1615.000
si4_b09_m400.02 803.877000 202 339 12 202 215 0 1815.000
si4_b09_m400.08 827.874000 203 204 12 202 230 0 1505.000
