instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad
si2-r001-m200.04 1 7 200 56 57
si2-r001-m200.05 1 7 200 43 43
si2-r001-m200.09 1 7 200 42 42
si2-r001-m200.03 1 7 200 48 48
si2-r001-m200.00 1 7 200 43 43
si2-r001-m200.08 1 7 200 41 41
si6-b03m-m800.01 1 4 800 481 481
si6-b03m-m800.08 1 4 800 481 481
si6-b03m-m800.03 1 4 800 481 481
si6-b03m-m800.00 1 4 800 481 481
si6-b03m-m800.04 1 4 800 481 481
si6-b03m-m800.05 1 4 800 481 481
si6-b03m-m800.07 1 4 800 481 481
si6-b03m-m800.06 1 4 800 481 481
si6-b03m-m800.09 1 4 800 481 481
si6-b03m-m800.02 1 4 800 481 481
si4-r005-m200.00 1 7 200 1147 1109
si4-r005-m200.08 1 7 200 803 791
si4-r005-m200.02 1 7 200 2279 2261
si4-r005-m200.05 1 7 200 180 173
si4-r005-m200.06 1 7 200 370 352
si4-r005-m200.04 1 7 200 2317 2232
si4-r005-m200.07 1 7 200 3767 3713
si4-r005-m200.09 1 7 200 2563 2509
si4-r005-m200.01 1 7 200 128 128
si4-r005-m200.03 1 7 200 442 434
si6-b09m-m400.03 1 4 400 241 241
si6-b09m-m400.07 1 4 400 241 241
si6-b09m-m400.00 1 4 400 241 241
si6-b09m-m400.04 1 4 400 241 241
si6-b09m-m400.06 1 4 400 241 241
si6-b09m-m400.08 1 4 400 241 241
si6-b09m-m400.02 1 4 400 241 241
si6-b09m-m400.05 1 4 400 241 241
si6-b09m-m400.09 1 4 400 241 241
si6-b09m-m400.01 1 4 400 241 241
si2-b09-m200.08 1 3 200 41 41
si2-b09-m200.01 1 3 200 41 41
si2-b09-m200.06 1 3 200 41 41
si2-b09-m200.05 1 3 200 41 41
si2-b09-m200.00 1 3 200 41 41
si2-b09-m200.02 1 3 200 41 41
si2-b09-m200.03 1 3 200 41 41
si2-b09-m200.04 1 3 200 41 41
si2-b09-m200.09 1 3 200 41 41
si2-b09-m200.07 1 3 200 41 41
si6-r01-m600.02 1 7 600 130977 112617
si6-r01-m600.06 1 7 600 214231 170646
si6-r01-m600.09 1 7 600 33303 28991
si6-r01-m600.08 1 7 600 899841 492076
si6-r01-m600.05 1 7 600 122075 69105
si6-r01-m600.07 1 7 600 994069 480739
si6-r01-m600.03 1 7 600 246316 201013
si6-r01-m600.00 1 7 600 49055 40334
si6-r01-m600.01 1 7 600 3250892 100000000
si6-r01-m600.04 1 7 600 2114165 100000000
si2-b06-m200.02 1 3 200 41 41
si2-b06-m200.00 1 3 200 41 41
si2-b06-m200.01 1 3 200 41 41
si2-b06-m200.06 1 3 200 41 41
si2-b06-m200.09 1 3 200 41 41
si2-b06-m200.07 1 3 200 41 41
si2-b06-m200.04 1 3 200 41 41
si2-b06-m200.08 1 3 200 41 41
si2-b06-m200.03 1 3 200 41 41
si2-b06-m200.05 1 3 200 41 41
si6-m4Dr2-m1296.05 1 6 1296 778 778
si6-m4Dr2-m1296.09 1 6 1296 778 778
si6-m4Dr2-m1296.01 1 6 1296 778 778
si6-m4Dr2-m1296.06 1 6 1296 778 778
si6-m4Dr2-m1296.07 1 6 1296 778 778
si6-m4Dr2-m1296.03 1 6 1296 778 778
si6-m4Dr2-m1296.04 1 6 1296 778 778
si6-m4Dr2-m1296.00 1 6 1296 778 778
si6-m4Dr2-m1296.08 1 6 1296 778 778
si6-m4Dr2-m1296.02 1 6 1296 778 778
si2-b09m-m800.09 1 4 800 161 161
si2-b09m-m800.07 1 4 800 161 161
si2-b09m-m800.00 1 4 800 161 161
si2-b09m-m800.04 1 4 800 161 161
si2-b09m-m800.02 1 4 800 161 161
si2-b09m-m800.05 1 4 800 161 161
si2-b09m-m800.03 1 4 800 161 161
si2-b09m-m800.08 1 4 800 161 161
si2-b09m-m800.06 1 4 800 161 161
si2-b09m-m800.01 1 4 800 161 161
si4-b03-m400.01 1 3 400 161 161
si4-b03-m400.02 1 3 400 161 161
si4-b03-m400.05 1 3 400 161 161
si4-b03-m400.07 1 3 400 161 161
si4-b03-m400.06 1 3 400 161 161
si4-b03-m400.00 1 3 400 161 161
si4-b03-m400.03 1 3 400 161 161
si4-b03-m400.04 1 3 400 161 161
si4-b03-m400.09 1 3 400 161 161
si4-b03-m400.08 1 3 400 161 161
si2-b03-m200.05 1 3 200 41 41
si2-b03-m200.09 1 3 200 41 41
si2-b03-m200.07 1 3 200 41 41
si2-b03-m200.01 1 3 200 41 41
si2-b03-m200.08 1 3 200 41 41
si2-b03-m200.02 1 3 200 41 41
si2-b03-m200.04 1 3 200 41 41
si2-b03-m200.03 1 3 200 41 41
si2-b03-m200.06 1 3 200 41 41
si2-b03-m200.00 1 3 200 41 41
si4-r005-m600.00 1 7 600 178500 146538
si4-r005-m600.02 1 7 600 41262 40364
si4-r005-m600.08 1 7 600 268218 251536
si4-r005-m600.05 1 7 600 237096 224670
si4-r005-m600.07 1 7 600 47746 43749
si4-r005-m600.06 1 7 600 468059 381467
si4-r005-m600.01 1 7 600 202918 182589
si4-r005-m600.04 1 7 600 178242 150698
si4-r005-m600.03 1 7 600 68906 52385
si4-r005-m600.09 1 7 600 14258 12507
si4-b09-m400.05 1 3 400 161 161
si4-b09-m400.03 1 3 400 161 161
si4-b09-m400.00 1 3 400 161 161
si4-b09-m400.07 1 3 400 161 161
si4-b09-m400.01 1 3 400 161 161
si4-b09-m400.06 1 3 400 161 161
si4-b09-m400.04 1 3 400 161 161
si4-b09-m400.02 1 3 400 161 161
si4-b09-m400.08 1 3 400 161 161
si4-b09-m400.09 1 3 400 161 161
si4-b06m-m400.06 1 4 400 161 161
si4-b06m-m400.03 1 4 400 161 161
si4-b06m-m400.01 1 4 400 161 161
si4-b06m-m400.08 1 4 400 161 161
si4-b06m-m400.05 1 4 400 161 161
si4-b06m-m400.07 1 4 400 161 161
si4-b06m-m400.00 1 4 400 161 161
si4-b06m-m400.04 1 4 400 161 161
si4-b06m-m400.09 1 4 400 161 161
si4-b06m-m400.02 1 4 400 161 161
si2-m4Dr2-m625.05 1 6 625 126 126
si2-m4Dr2-m625.00 1 6 625 263 250
si2-m4Dr2-m625.08 1 6 625 126 126
si2-m4Dr2-m625.09 1 6 625 126 126
si2-m4Dr2-m625.06 1 6 625 128 127
si2-m4Dr2-m625.04 1 6 625 126 126
si2-m4Dr2-m625.01 1 6 625 126 126
si2-m4Dr2-m625.03 1 6 625 126 126
si2-m4Dr2-m625.02 1 6 625 137 137
si2-m4Dr2-m625.07 1 6 625 126 126
si2-r005-m200.02 1 7 200 859 858
si2-r005-m200.01 1 7 200 77539 77476
si2-r005-m200.03 1 7 200 11450 11457
si2-r005-m200.05 1 7 200 3626199 3611807
si2-r005-m200.08 1 7 200 491112 489888
si2-r005-m200.04 1 7 200 2417392 2416190
si2-r005-m200.09 1 7 200 14662 14637
si2-r005-m200.06 1 7 200 30835 30814
si2-r005-m200.00 1 7 200 199088 198610
si2-r005-m200.07 1 7 200 8524 8490
si4-b03m-m400.03 1 4 400 161 161
si4-b03m-m400.09 1 4 400 161 161
si4-b03m-m400.08 1 4 400 161 161
si4-b03m-m400.04 1 4 400 161 161
si4-b03m-m400.00 1 4 400 161 161
si4-b03m-m400.01 1 4 400 161 161
si4-b03m-m400.07 1 4 400 161 161
si4-b03m-m400.02 1 4 400 161 161
si4-b03m-m400.06 1 4 400 161 161
si4-b03m-m400.05 1 4 400 161 161
si2-r01-m600.01 1 7 600 8665989 100000000
si2-r01-m600.06 1 7 600 5431515 100000000
si2-r01-m600.09 1 7 600 18473903 100000000
si2-r01-m600.08 1 7 600 35388046 100000000
si2-r01-m600.04 1 7 600 41329211 100000000
si2-r01-m600.02 1 7 600 120082292 100000000
si2-r01-m600.00 1 7 600 732564178 100000000
si2-r01-m600.07 1 7 600 12521455 100000000
si2-r01-m600.03 1 7 600 73526971 100000000
si2-r01-m600.05 1 7 600 6421280 100000000
si4-m4Dr6-m256.01 1 6 256 103 103
si4-m4Dr6-m256.00 1 6 256 114 114
si4-m4Dr6-m256.05 1 6 256 108 107
si4-m4Dr6-m256.08 1 6 256 105 104
si4-m4Dr6-m256.03 1 6 256 103 103
si4-m4Dr6-m256.06 1 6 256 103 103
si4-m4Dr6-m256.09 1 6 256 103 103
si4-m4Dr6-m256.07 1 6 256 105 105
si4-m4Dr6-m256.02 1 6 256 103 103
si4-m4Dr6-m256.04 1 6 256 105 105
si2-b03m-m400.02 1 4 400 81 81
si2-b03m-m400.00 1 4 400 81 81
si2-b03m-m400.01 1 4 400 81 81
si2-b03m-m400.05 1 4 400 81 81
si2-b03m-m400.08 1 4 400 81 81
si2-b03m-m400.07 1 4 400 81 81
si2-b03m-m400.09 1 4 400 81 81
si2-b03m-m400.03 1 4 400 81 81
si2-b03m-m400.04 1 4 400 81 81
si2-b03m-m400.06 1 4 400 81 81
si2-b03m-m200.05 1 4 200 41 41
si2-b03m-m200.03 1 4 200 41 41
si2-b03m-m200.00 1 4 200 41 41
si2-b03m-m200.08 1 4 200 41 41
si2-b03m-m200.06 1 4 200 41 41
si2-b03m-m200.02 1 4 200 41 41
si2-b03m-m200.09 1 4 200 41 41
si2-b03m-m200.04 1 4 200 41 41
si2-b03m-m200.01 1 4 200 41 41
si2-b03m-m200.07 1 4 200 41 41
si4-r001-m200.04 1 7 200 81 81
si4-r001-m200.07 1 7 200 86 82
si4-r001-m200.00 1 7 200 81 81
si4-r001-m200.01 1 7 200 81 81
si4-r001-m200.03 1 7 200 87 87
si4-r001-m200.06 1 7 200 81 81
si4-r001-m200.05 1 7 200 81 81
si4-r001-m200.08 1 7 200 87 87
si4-r001-m200.09 1 7 200 367 332
si4-r001-m200.02 1 7 200 122 115
si2-m4D-m256.08 1 5 256 692 620
si2-m4D-m256.03 1 5 256 60 64
si2-m4D-m256.02 1 5 256 233 116
si2-m4D-m256.06 1 5 256 52 52
si2-m4D-m256.04 1 5 256 52 52
si2-m4D-m256.07 1 5 256 52 52
si2-m4D-m256.01 1 5 256 52 52
si2-m4D-m256.09 1 5 256 54 54
si2-m4D-m256.00 1 5 256 52 52
si2-m4D-m256.05 1 5 256 98 90
si6-r01-m400.04 1 7 400 216563 179667
si6-r01-m400.08 1 7 400 24369 15337
si6-r01-m400.07 1 7 400 48656 42585
si6-r01-m400.06 1 7 400 32086 21741
si6-r01-m400.05 1 7 400 600192 442767
si6-r01-m400.02 1 7 400 145011 112508
si6-r01-m400.00 1 7 400 141898 95804
si6-r01-m400.03 1 7 400 45199 34910
si6-r01-m400.01 1 7 400 55288 49744
si6-r01-m400.09 1 7 400 255710 180581
si2-m4Dr4-m625.07 1 6 625 127 126
si2-m4Dr4-m625.02 1 6 625 126 126
si2-m4Dr4-m625.03 1 6 625 126 126
si2-m4Dr4-m625.00 1 6 625 126 126
si2-m4Dr4-m625.05 1 6 625 126 126
si2-m4Dr4-m625.06 1 6 625 141 141
si2-m4Dr4-m625.09 1 6 625 490 463
si2-m4Dr4-m625.01 1 6 625 126 126
si2-m4Dr4-m625.08 1 6 625 126 126
si2-m4Dr4-m625.04 1 6 625 140 140
si4-r01-m400.01 1 7 400 1919 1615
si4-r01-m400.08 1 7 400 1384834 1215866
si4-r01-m400.02 1 7 400 5560678 100000000
si4-r01-m400.03 1 7 400 651133 635416
si4-r01-m400.07 1 7 400 1101216 903687
si4-r01-m400.06 1 7 400 65755 61679
si4-r01-m400.04 1 7 400 5591160 100000000
si4-r01-m400.00 1 7 400 9426571 100000000
si4-r01-m400.05 1 7 400 240181 228805
si4-r01-m400.09 1 7 400 1109809 1053158
si2-b09m-m400.09 1 4 400 81 81
si2-b09m-m400.03 1 4 400 82 81
si2-b09m-m400.01 1 4 400 81 81
si2-b09m-m400.08 1 4 400 81 81
si2-b09m-m400.05 1 4 400 81 81
si2-b09m-m400.06 1 4 400 81 81
si2-b09m-m400.00 1 4 400 81 81
si2-b09m-m400.02 1 4 400 81 81
si2-b09m-m400.04 1 4 400 81 81
si2-b09m-m400.07 1 4 400 81 81
si2-b09-m800.07 1 3 800 161 161
si2-b09-m800.04 1 3 800 161 161
si2-b09-m800.05 1 3 800 161 161
si2-b09-m800.00 1 3 800 161 161
si2-b09-m800.02 1 3 800 161 161
si2-b09-m800.01 1 3 800 161 161
si2-b09-m800.08 1 3 800 161 161
si2-b09-m800.09 1 3 800 161 161
si2-b09-m800.03 1 3 800 161 161
si2-b09-m800.06 1 3 800 161 161
si6-b03-m400.04 1 3 400 241 241
si6-b03-m400.09 1 3 400 241 241
si6-b03-m400.02 1 3 400 241 241
si6-b03-m400.06 1 3 400 241 241
si6-b03-m400.05 1 3 400 241 241
si6-b03-m400.08 1 3 400 241 241
si6-b03-m400.01 1 3 400 241 241
si6-b03-m400.07 1 3 400 241 241
si6-b03-m400.03 1 3 400 241 241
si6-b03-m400.00 1 3 400 241 241
si2-r005-m600.03 1 7 600 623912 616637
si2-r005-m600.00 1 7 600 15299650 100000000
si2-r005-m600.06 1 7 600 942181 937926
si2-r005-m600.01 1 7 600 3764976 100000000
si2-r005-m600.04 1 7 600 9424421 100000000
si2-r005-m600.09 1 7 600 858182 818482
si2-r005-m600.05 1 7 600 45575857 100000000
si2-r005-m600.02 1 7 600 10333495 100000000
si2-r005-m600.08 1 7 600 2294902 2280156
si2-r005-m600.07 1 7 600 233818 232732
si4-r01-m600.05 1 7 600 253588 163097
si4-r01-m600.02 1 7 600 466397 438230
si4-r01-m600.03 1 7 600 2279452 100000000
si4-r01-m600.07 1 7 600 4026555 100000000
si4-r01-m600.08 1 7 600 3277425 100000000
si4-r01-m600.06 1 7 600 1176099 100000000
si4-r01-m600.01 1 7 600 12257999 100000000
si4-r01-m600.04 1 7 600 3388915 100000000
si4-r01-m600.00 1 7 600 7790299 100000000
si4-r01-m600.09 1 7 600 1925625 100000000
si2-b09-m400.04 1 3 400 81 81
si2-b09-m400.08 1 3 400 81 81
si2-b09-m400.05 1 3 400 81 81
si2-b09-m400.01 1 3 400 81 81
si2-b09-m400.03 1 3 400 81 81
si2-b09-m400.02 1 3 400 81 81
si2-b09-m400.07 1 3 400 81 81
si2-b09-m400.09 1 3 400 81 81
si2-b09-m400.06 1 3 400 81 81
si2-b09-m400.00 1 3 400 81 81
si4-b06-m200.06 1 3 200 81 81
si4-b06-m200.03 1 3 200 81 81
si4-b06-m200.02 1 3 200 81 81
si4-b06-m200.07 1 3 200 81 81
si4-b06-m200.05 1 3 200 81 81
si4-b06-m200.08 1 3 200 81 81
si4-b06-m200.00 1 3 200 81 81
si4-b06-m200.04 1 3 200 81 81
si4-b06-m200.01 1 3 200 81 81
si4-b06-m200.09 1 3 200 81 81
si4-r005-m400.06 1 7 400 73855 67890
si4-r005-m400.03 1 7 400 12970 10225
si4-r005-m400.07 1 7 400 88257 83884
si4-r005-m400.01 1 7 400 9839 9655
si4-r005-m400.04 1 7 400 20794 18951
si4-r005-m400.00 1 7 400 21922 20839
si4-r005-m400.09 1 7 400 24771 23995
si4-r005-m400.05 1 7 400 10910 10547
si4-r005-m400.08 1 7 400 3865 3850
si4-r005-m400.02 1 7 400 56685 53078
si4-m4Dr2-m1296.07 1 6 1296 519 519
si4-m4Dr2-m1296.00 1 6 1296 519 519
si4-m4Dr2-m1296.05 1 6 1296 519 519
si4-m4Dr2-m1296.04 1 6 1296 519 519
si4-m4Dr2-m1296.08 1 6 1296 519 519
si4-m4Dr2-m1296.01 1 6 1296 519 519
si4-m4Dr2-m1296.06 1 6 1296 519 519
si4-m4Dr2-m1296.02 1 6 1296 519 519
si4-m4Dr2-m1296.03 1 6 1296 519 519
si4-m4Dr2-m1296.09 1 6 1296 519 519
si6-b09-m800.03 1 3 800 481 481
si6-b09-m800.09 1 3 800 481 481
si6-b09-m800.07 1 3 800 481 481
si6-b09-m800.05 1 3 800 481 481
si6-b09-m800.04 1 3 800 481 481
si6-b09-m800.01 1 3 800 481 481
si6-b09-m800.00 1 3 800 481 481
si6-b09-m800.02 1 3 800 481 481
si6-b09-m800.06 1 3 800 481 481
si6-b09-m800.08 1 3 800 481 481
si6-b06m-m400.00 1 4 400 241 241
si6-b06m-m400.08 1 4 400 241 241
si6-b06m-m400.03 1 4 400 241 241
si6-b06m-m400.04 1 4 400 241 241
si6-b06m-m400.06 1 4 400 241 241
si6-b06m-m400.07 1 4 400 241 241
si6-b06m-m400.09 1 4 400 241 241
si6-b06m-m400.02 1 4 400 241 241
si6-b06m-m400.01 1 4 400 241 241
si6-b06m-m400.05 1 4 400 241 241
si2-m4Dr4-m1296.08 1 6 1296 268 267
si2-m4Dr4-m1296.07 1 6 1296 260 260
si2-m4Dr4-m1296.03 1 6 1296 260 260
si2-m4Dr4-m1296.05 1 6 1296 260 260
si2-m4Dr4-m1296.06 1 6 1296 260 260
