instance sat family density lad vbdpd vbbjdpd vf2 snd
si4-r005-m600.05 1 7 240 50252312.487000 23350 23797 100000000 2934349.000
si4-r005-m600.07 1 7 240 7315558.866000 9067 9172 100000000 1688061.000
si4-r005-m600.06 1 7 240 9303935.586000 41639 42391 100000000 2953022.000
si4-r005-m600.01 1 7 240 3885846.261000 25270 24886 100000000 93997.000
si4-r005-m600.04 1 7 240 2048898.520000 21822 22183 100000000 487245.000
si4-r005-m600.03 1 7 240 1445877.193000 13734 13869 100000000 2206629.000
si4-r005-m600.09 1 7 240 3993902.834000 5709 5729 100000000 81050.00
si4-b09-m400.05 1 3 160 754.885000 209 226 0 1973.000
si4-b09-m400.03 1 3 160 747.886000 203 210 0 1848.000
si4-b09-m400.00 1 3 160 708.892000 204 208 0 1676.000
si4-b09-m400.07 1 3 160 787.880000 226 203 0 1515.000
si4-b09-m400.01 1 3 160 763.883000 208 203 0 1509.000
si4-b09-m400.06 1 3 160 735.888000 207 204 0 1559.000
si4-b09-m400.04 1 3 160 760.884000 238 203 0 1615.000
si4-b09-m400.02 1 3 160 803.877000 202 339 0 1815.000
si4-b09-m400.08 1 3 160 827.874000 203 204 0 1505.000
si4-b09-m400.09 1 3 160 723.889000 202 215 0 2333.000
si4-b06m-m400.06 1 4 160 19.996000 74 76 1 1286.000
si4-b06m-m400.03 1 4 160 22.996000 45 45 0 1742.000
si4-b06m-m400.01 1 4 160 20.996000 139 140 0 1508.000
si4-b06m-m400.08 1 4 160 23.996000 108 78 0 1645.000
si4-b06m-m400.05 1 4 160 35.994000 137 107 0 1396.000
si4-b06m-m400.07 1 4 160 33.994000 52 54 0 1337.000
si4-b06m-m400.00 1 4 160 34.994000 73 72 0 1223.000
si4-b06m-m400.04 1 4 160 34.994000 50 50 0 1343.000
si4-b06m-m400.09 1 4 160 21.996000 64 64 0 1198.000
