instance sat family size vbbjdpd tvbbjdpd
si6-b03m-m800.06 1 4 800 481 100000000
si6-b03m-m800.09 1 4 800 481 100000000
si6-b03m-m800.02 1 4 800 481 100000000
si4-r005-m200.00 1 7 200 1147 100000000
si4-r005-m200.08 1 7 200 803 100000000
si4-r005-m200.02 1 7 200 2279 100000000
si4-r005-m200.05 1 7 200 180 100000000
si4-r005-m200.06 1 7 200 370 100000000
si4-r005-m200.04 1 7 200 2317 100000000
si4-r005-m200.07 1 7 200 3767 100000000
si4-r005-m200.09 1 7 200 2563 100000000
si4-r005-m200.01 1 7 200 128 100000000
si4-r005-m200.03 1 7 200 442 100000000
si6-b09m-m400.03 1 4 400 241 100000000
si6-b09m-m400.07 1 4 400 241 100000000
si6-b09m-m400.00 1 4 400 241 100000000
si6-b09m-m400.04 1 4 400 241 100000000
si6-b09m-m400.06 1 4 400 241 100000000
si6-b09m-m400.08 1 4 400 241 100000000
si6-b09m-m400.02 1 4 400 241 100000000
si6-b09m-m400.05 1 4 400 241 100000000
si6-b09m-m400.09 1 4 400 241 100000000
si6-b09m-m400.01 1 4 400 241 100000000
si2-b09-m200.08 1 3 200 41 100000000
si2-b09-m200.01 1 3 200 41 100000000
si2-b09-m200.06 1 3 200 41 100000000
si2-b09-m200.05 1 3 200 41 100000000
si2-b09-m200.00 1 3 200 41 100000000
si2-b09-m200.02 1 3 200 41 100000000
si2-b09-m200.03 1 3 200 41 100000000
si2-b09-m200.04 1 3 200 41 100000000
si2-b09-m200.09 1 3 200 41 100000000
si2-b09-m200.07 1 3 200 41 100000000
si6-r01-m600.02 1 7 600 130977 100000000
si6-r01-m600.06 1 7 600 214231 100000000
si6-r01-m600.09 1 7 600 33303 100000000
si6-r01-m600.08 1 7 600 899841 100000000
si6-r01-m600.05 1 7 600 122075 100000000
si6-r01-m600.07 1 7 600 994069 100000000
si6-r01-m600.03 1 7 600 246316 100000000
si6-r01-m600.00 1 7 600 49055 100000000
si6-r01-m600.01 1 7 600 3250892 100000000
si6-r01-m600.04 1 7 600 2114165 100000000
si2-b06-m200.02 1 3 200 41 100000000
si2-b06-m200.00 1 3 200 41 100000000
si2-b06-m200.01 1 3 200 41 100000000
si2-b06-m200.06 1 3 200 41 100000000
si2-b06-m200.09 1 3 200 41 100000000
si2-b06-m200.07 1 3 200 41 100000000
si2-b06-m200.04 1 3 200 41 100000000
si2-b06-m200.08 1 3 200 41 100000000
si2-b06-m200.03 1 3 200 41 100000000
si2-b06-m200.05 1 3 200 41 100000000
si6-m4Dr2-m1296.05 1 6 1296 778 100000000
si6-m4Dr2-m1296.09 1 6 1296 778 100000000
si6-m4Dr2-m1296.01 1 6 1296 778 100000000
si6-m4Dr2-m1296.06 1 6 1296 778 100000000
si6-m4Dr2-m1296.07 1 6 1296 778 100000000
si6-m4Dr2-m1296.03 1 6 1296 778 100000000
si6-m4Dr2-m1296.04 1 6 1296 778 100000000
si6-m4Dr2-m1296.00 1 6 1296 778 100000000
si6-m4Dr2-m1296.08 1 6 1296 778 100000000
si6-m4Dr2-m1296.02 1 6 1296 778 100000000
si2-b09m-m800.09 1 4 800 161 100000000
si2-b09m-m800.07 1 4 800 161 100000000
si2-b09m-m800.00 1 4 800 161 100000000
si2-b09m-m800.04 1 4 800 161 100000000
si2-b09m-m800.02 1 4 800 161 100000000
si2-b09m-m800.05 1 4 800 161 100000000
si2-b09m-m800.03 1 4 800 161 100000000
si2-b09m-m800.08 1 4 800 161 100000000
si2-b09m-m800.06 1 4 800 161 100000000
si2-b09m-m800.01 1 4 800 161 100000000
si4-b03-m400.01 1 3 400 161 100000000
si4-b03-m400.02 1 3 400 161 100000000
si4-b03-m400.05 1 3 400 161 100000000
si4-b03-m400.07 1 3 400 161 100000000
si4-b03-m400.06 1 3 400 161 100000000
si4-b03-m400.00 1 3 400 161 100000000
si4-b03-m400.03 1 3 400 161 100000000
si4-b03-m400.04 1 3 400 161 100000000
si4-b03-m400.09 1 3 400 161 100000000
si4-b03-m400.08 1 3 400 161 100000000
si2-b03-m200.05 1 3 200 41 100000000
si2-b03-m200.09 1 3 200 41 100000000
si2-b03-m200.07 1 3 200 41 100000000
si2-b03-m200.01 1 3 200 41 100000000
si2-b03-m200.08 1 3 200 41 100000000
si2-b03-m200.02 1 3 200 41 100000000
si2-b03-m200.04 1 3 200 41 100000000
si2-b03-m200.03 1 3 200 41 100000000
si2-b03-m200.06 1 3 200 41 100000000
si2-b03-m200.00 1 3 200 41 100000000
si4-r005-m600.00 1 7 600 178500 100000000
si4-r005-m600.02 1 7 600 41262 100000000
si4-r005-m600.08 1 7 600 268218 100000000
si4-r005-m600.05 1 7 600 237096 100000000
si4-r005-m600.07 1 7 600 47746 100000000
si4-r005-m600.06 1 7 600 468059 100000000
si4-r005-m600.01 1 7 600 202918 100000000
si4-r005-m600.04 1 7 600 178242 100000000
si4-r005-m600.03 1 7 600 68906 100000000
si4-r005-m600.09 1 7 600 14258 100000000
si4-b09-m400.05 1 3 400 161 100000000
si4-b09-m400.03 1 3 400 161 100000000
si4-b09-m400.00 1 3 400 161 100000000
si4-b09-m400.07 1 3 400 161 100000000
si4-b09-m400.01 1 3 400 161 100000000
si4-b09-m400.06 1 3 400 161 100000000
si4-b09-m400.04 1 3 400 161 100000000
si4-b09-m400.02 1 3 400 161 100000000
si4-b09-m400.08 1 3 400 161 100000000
si4-b09-m400.09 1 3 400 161 100000000
si4-b06m-m400.06 1 4 400 161 100000000
si4-b06m-m400.03 1 4 400 161 100000000
si4-b06m-m400.01 1 4 400 161 100000000
si4-b06m-m400.08 1 4 400 161 100000000
si4-b06m-m400.05 1 4 400 161 100000000
si4-b06m-m400.07 1 4 400 161 100000000
si4-b06m-m400.00 1 4 400 161 100000000
si4-b06m-m400.04 1 4 400 161 100000000
si4-b06m-m400.09 1 4 400 161 100000000
si4-b06m-m400.02 1 4 400 161 100000000
si2-m4Dr2-m625.05 1 6 625 126 100000000
si2-m4Dr2-m625.00 1 6 625 263 100000000
si2-m4Dr2-m625.08 1 6 625 126 100000000
si2-m4Dr2-m625.09 1 6 625 126 100000000
si2-m4Dr2-m625.06 1 6 625 128 100000000
si2-m4Dr2-m625.04 1 6 625 126 100000000
si2-m4Dr2-m625.01 1 6 625 126 100000000
si2-m4Dr2-m625.03 1 6 625 126 100000000
si2-m4Dr2-m625.02 1 6 625 137 100000000
si2-m4Dr2-m625.07 1 6 625 126 100000000
si2-r005-m200.02 1 7 200 859 100000000
si2-r005-m200.01 1 7 200 77539 100000000
si2-r005-m200.03 1 7 200 11450 100000000
si2-r005-m200.05 1 7 200 3626199 100000000
si2-r005-m200.08 1 7 200 491112 100000000
si2-r005-m200.04 1 7 200 2417392 100000000
si2-r005-m200.09 1 7 200 14662 100000000
si2-r005-m200.06 1 7 200 30835 100000000
si2-r005-m200.00 1 7 200 199088 100000000
si2-r005-m200.07 1 7 200 8524 100000000
si4-b03m-m400.03 1 4 400 161 100000000
si4-b03m-m400.09 1 4 400 161 100000000
si4-b03m-m400.08 1 4 400 161 100000000
si4-b03m-m400.04 1 4 400 161 100000000
si4-b03m-m400.00 1 4 400 161 100000000
si4-b03m-m400.01 1 4 400 161 100000000
si4-b03m-m400.07 1 4 400 161 100000000
si4-b03m-m400.02 1 4 400 161 100000000
si4-b03m-m400.06 1 4 400 161 100000000
si4-b03m-m400.05 1 4 400 161 100000000
si2-r01-m600.01 1 7 600 8665989 100000000
si2-r01-m600.06 1 7 600 5431515 100000000
si2-r01-m600.09 1 7 600 18473903 100000000
si2-r01-m600.08 1 7 600 35388046 100000000
si2-r01-m600.04 1 7 600 41329211 100000000
si2-r01-m600.02 1 7 600 120082292 100000000
si2-r01-m600.00 1 7 600 732564178 100000000
si2-r01-m600.07 1 7 600 12521455 100000000
si2-r01-m600.03 1 7 600 73526971 100000000
si2-r01-m600.05 1 7 600 6421280 100000000
si4-m4Dr6-m256.01 1 6 256 103 100000000
si4-m4Dr6-m256.00 1 6 256 114 100000000
si4-m4Dr6-m256.05 1 6 256 108 100000000
si4-m4Dr6-m256.08 1 6 256 105 100000000
si4-m4Dr6-m256.03 1 6 256 103 100000000
si4-m4Dr6-m256.06 1 6 256 103 100000000
si4-m4Dr6-m256.09 1 6 256 103 100000000
si4-m4Dr6-m256.07 1 6 256 105 100000000
si4-m4Dr6-m256.02 1 6 256 103 100000000
si4-m4Dr6-m256.04 1 6 256 105 100000000
si2-b03m-m400.02 1 4 400 81 100000000
si2-b03m-m400.00 1 4 400 81 100000000
si2-b03m-m400.01 1 4 400 81 100000000
si2-b03m-m400.05 1 4 400 81 100000000
si2-b03m-m400.08 1 4 400 81 100000000
si2-b03m-m400.07 1 4 400 81 100000000
si2-b03m-m400.09 1 4 400 81 100000000
si2-b03m-m400.03 1 4 400 81 100000000
si2-b03m-m400.04 1 4 400 81 100000000
si2-b03m-m400.06 1 4 400 81 100000000
si2-b03m-m200.05 1 4 200 41 100000000
